Jahr,Wochennummer,Wochenbeginn,Lat,Long,Ort,Durchschnitt
2020,30,2020-07-20,41.4261,2.148,Vall Hebron,66.431
2020,31,2020-07-27,41.4261,2.148,Vall Hebron,60.069
2020,28,2020-07-06,41.3875,2.1151,Palau Reial,62.353
2020,29,2020-07-13,41.3875,2.1151,Palau Reial,71.468
2020,30,2020-07-20,41.3875,2.1151,Palau Reial,64.654
2020,31,2020-07-27,41.3875,2.1151,Palau Reial,46.726
2020,32,2020-08-03,41.3853,2.1538,Eixample,42.095
2020,33,2020-08-10,41.3853,2.1538,Eixample,54.935
2020,34,2020-08-17,41.3853,2.1538,Eixample,49.514
2020,35,2020-08-24,41.3853,2.1538,Eixample,42.625
2020,36,2020-08-31,41.3853,2.1538,Eixample,53.391
2020,32,2020-08-03,41.3987,2.1534,Gràcia,47.330
2020,33,2020-08-10,41.3987,2.1534,Gràcia,58.379
2020,34,2020-08-17,41.3987,2.1534,Gràcia,50.641
2020,35,2020-08-24,41.3987,2.1534,Gràcia,47.152
2020,36,2020-08-31,41.3987,2.1534,Gràcia,58.534
2020,32,2020-08-03,41.3864,2.1874,Ciutadella,51.323
2020,33,2020-08-10,41.3864,2.1874,Ciutadella,59.003
2020,34,2020-08-17,41.3864,2.1874,Ciutadella,52.055
2020,35,2020-08-24,41.3864,2.1874,Ciutadella,46.571
2020,36,2020-08-31,41.3864,2.1874,Ciutadella,63.964
2020,32,2020-08-03,41.4261,2.148,Vall Hebron,61.226
2020,33,2020-08-10,41.4261,2.148,Vall Hebron,67.308
2020,34,2020-08-17,41.4261,2.148,Vall Hebron,58.848
2020,35,2020-08-24,41.4261,2.148,Vall Hebron,48.969
2020,36,2020-08-31,41.4261,2.148,Vall Hebron,67.982
2020,32,2020-08-03,41.3875,2.1151,Palau Reial,35.735
2020,33,2020-08-10,41.3875,2.1151,Palau Reial,67.697
2020,34,2020-08-17,41.3875,2.1151,Palau Reial,61.857
2020,35,2020-08-24,41.3875,2.1151,Palau Reial,56.128
2020,36,2020-08-31,41.3875,2.1151,Palau Reial,71.113
2020,37,2020-09-07,41.3853,2.1538,Eixample,43.964
2020,38,2020-09-14,41.3853,2.1538,Eixample,34.179
2020,39,2020-09-21,41.3853,2.1538,Eixample,41.155
2020,40,2020-09-28,41.3853,2.1538,Eixample,42.634
2020,37,2020-09-07,41.3987,2.1534,Gràcia,49.470
2020,38,2020-09-14,41.3987,2.1534,Gràcia,37.743
2020,39,2020-09-21,41.3987,2.1534,Gràcia,46.384
2020,40,2020-09-28,41.3987,2.1534,Gràcia,49.502
2020,37,2020-09-07,41.3864,2.1874,Ciutadella,52.134
2020,38,2020-09-14,41.3864,2.1874,Ciutadella,41.733
2020,39,2020-09-21,41.3864,2.1874,Ciutadella,48.060
2020,40,2020-09-28,41.3864,2.1874,Ciutadella,48.769
2020,37,2020-09-07,41.4261,2.148,Vall Hebron,68.458
2020,38,2020-09-14,41.4261,2.148,Vall Hebron,54.174
2020,39,2020-09-21,41.4261,2.148,Vall Hebron,55.143
2020,40,2020-09-28,41.4261,2.148,Vall Hebron,58.231
2020,37,2020-09-07,41.3875,2.1151,Palau Reial,65.670
2020,38,2020-09-14,41.3875,2.1151,Palau Reial,51.093
2020,39,2020-09-21,41.3875,2.1151,Palau Reial,56.377
2020,40,2020-09-28,41.3875,2.1151,Palau Reial,60.743
2020,41,2020-10-05,41.3853,2.1538,Eixample,28.915
2020,42,2020-10-12,41.3853,2.1538,Eixample,34.908
2020,43,2020-10-19,41.3853,2.1538,Eixample,31.760
2020,44,2020-10-26,41.3853,2.1538,Eixample,25.446
2020,41,2020-10-05,41.3987,2.1534,Gràcia,32.830
2020,42,2020-10-12,41.3987,2.1534,Gràcia,40.824
2020,43,2020-10-19,41.3987,2.1534,Gràcia,40.544
2020,44,2020-10-26,41.3987,2.1534,Gràcia,31.750
2020,41,2020-10-05,41.3864,2.1874,Ciutadella,35.983
2020,42,2020-10-12,41.3864,2.1874,Ciutadella,44.491
2020,43,2020-10-19,41.3864,2.1874,Ciutadella,40.633
2020,44,2020-10-26,41.3864,2.1874,Ciutadella,31.278
2020,41,2020-10-05,41.4261,2.148,Vall Hebron,39.374
2020,42,2020-10-12,41.4261,2.148,Vall Hebron,50.027
2020,43,2020-10-19,41.4261,2.148,Vall Hebron,51.581
2020,44,2020-10-26,41.4261,2.148,Vall Hebron,43.102
2020,41,2020-10-05,41.3875,2.1151,Palau Reial,43.124
2020,42,2020-10-12,41.3875,2.1151,Palau Reial,51.839
2020,43,2020-10-19,41.3875,2.1151,Palau Reial,50.909
2020,44,2020-10-26,41.3875,2.1151,Palau Reial,41.853
2020,45,2020-11-02,41.3853,2.1538,Eixample,27.826
2020,46,2020-11-09,41.3853,2.1538,Eixample,13.533
2020,47,2020-11-16,41.3853,2.1538,Eixample,21.018
2020,48,2020-11-23,41.3853,2.1538,Eixample,26.009
2020,45,2020-11-02,41.3987,2.1534,Gràcia,35.430
2020,46,2020-11-09,41.3987,2.1534,Gràcia,17.659
2020,47,2020-11-16,41.3987,2.1534,Gràcia,14.274
2020,48,2020-11-23,41.3987,2.1534,Gràcia,36.550
2020,45,2020-11-02,41.3864,2.1874,Ciutadella,35.356
