Ort,Datum,Wert
Poblenou,2019-04-22 01,15
Poblenou,2019-04-22 02,6
Poblenou,2019-04-22 03,10
Poblenou,2019-04-22 04,8
Poblenou,2019-04-22 05,12
Poblenou,2019-04-22 06,8
Poblenou,2019-04-22 07,9
Poblenou,2019-04-22 08,8
Poblenou,2019-04-22 09,17
Poblenou,2019-04-22 10,13
Poblenou,2019-04-22 11,16
Poblenou,2019-04-22 12,20
Poblenou,2019-04-22 13,17
Poblenou,2019-04-22 14,19
Poblenou,2019-04-22 15,23
Poblenou,2019-04-22 16,12
Poblenou,2019-04-22 17,14
Poblenou,2019-04-22 18,13
Poblenou,2019-04-22 19,12
Poblenou,2019-04-22 20,15
Poblenou,2019-04-22 21,14
Poblenou,2019-04-22 22,13
Poblenou,2019-04-22 23,10
Poblenou,2019-04-22 24,8
Poblenou,2019-04-23 01,8
Poblenou,2019-04-23 02,16
Poblenou,2019-04-23 03,25
Poblenou,2019-04-23 04,27
Poblenou,2019-04-23 05,26
Poblenou,2019-04-23 06,38
Poblenou,2019-04-23 07,61
Poblenou,2019-04-23 08,71
Poblenou,2019-04-23 09,75
Poblenou,2019-04-23 10,78
Poblenou,2019-04-23 11,71
Poblenou,2019-04-23 12,64
Poblenou,2019-04-23 13,33
Poblenou,2019-04-23 14,44
Poblenou,2019-04-23 15,33
Poblenou,2019-04-23 16,30
Poblenou,2019-04-23 17,29
Poblenou,2019-04-23 18,35
Poblenou,2019-04-23 19,34
Poblenou,2019-04-23 20,55
Poblenou,2019-04-23 21,48
Poblenou,2019-04-23 22,45
Poblenou,2019-04-23 23,34
Poblenou,2019-04-23 24,36
Poblenou,2019-04-24 01,49
Poblenou,2019-04-24 02,24
Poblenou,2019-04-24 03,21
Poblenou,2019-04-24 04,12
Poblenou,2019-04-24 05,15
Poblenou,2019-04-24 06,20
Poblenou,2019-04-24 07,42
Poblenou,2019-04-24 08,58
Poblenou,2019-04-24 09,40
Poblenou,2019-04-24 10,41
Poblenou,2019-04-24 11,33
Poblenou,2019-04-24 12,40
Poblenou,2019-04-24 13,39
Poblenou,2019-04-24 14,39
Poblenou,2019-04-24 15,30
Poblenou,2019-04-24 16,25
Poblenou,2019-04-24 17,28
Poblenou,2019-04-24 18,25
Poblenou,2019-04-24 19,28
Poblenou,2019-04-24 20,34
Poblenou,2019-04-24 21,43
Poblenou,2019-04-24 22,42
Poblenou,2019-04-24 23,47
Poblenou,2019-04-24 24,33
Poblenou,2019-04-25 01,35
Poblenou,2019-04-25 02,25
Poblenou,2019-04-25 03,24
Poblenou,2019-04-25 04,26
Poblenou,2019-04-25 05,20
Poblenou,2019-04-25 06,25
Poblenou,2019-04-25 07,21
Poblenou,2019-04-25 08,44
Poblenou,2019-04-25 09,56
Poblenou,2019-04-25 10,45
Poblenou,2019-04-25 11,38
Poblenou,2019-04-25 12,41
Poblenou,2019-04-25 13,50
Poblenou,2019-04-25 14,39
Poblenou,2019-04-25 15,26
Poblenou,2019-04-25 16,27
Poblenou,2019-04-25 17,29
Poblenou,2019-04-25 18,46
Poblenou,2019-04-25 19,45
Poblenou,2019-04-25 20,45
Poblenou,2019-04-25 21,34
Poblenou,2019-04-25 22,65
Poblenou,2019-04-25 23,40
Poblenou,2019-04-25 24,25
Poblenou,2019-04-26 01,19
Poblenou,2019-04-26 02,15
Poblenou,2019-04-26 03,19
Poblenou,2019-04-26 04,14
Poblenou,2019-04-26 05,8
Poblenou,2019-04-26 06,9
Poblenou,2019-04-26 07,18
Poblenou,2019-04-26 08,24
Poblenou,2019-04-26 09,28
Poblenou,2019-04-26 10,24
Poblenou,2019-04-26 11,22
Poblenou,2019-04-26 12,31
Poblenou,2019-04-26 13,29
Poblenou,2019-04-26 14,23
Poblenou,2019-04-26 15,16
Poblenou,2019-04-26 16,16
Poblenou,2019-04-26 17,12
Poblenou,2019-04-26 18,13
Poblenou,2019-04-26 19,13
Poblenou,2019-04-26 20,15
Poblenou,2019-04-26 21,16
Poblenou,2019-04-26 22,21
Poblenou,2019-04-26 23,22
Poblenou,2019-04-26 24,28
Poblenou,2019-04-27 01,50
Poblenou,2019-04-27 02,75
Poblenou,2019-04-27 03,71
Poblenou,2019-04-27 04,71
Poblenou,2019-04-27 05,65
Poblenou,2019-04-27 06,53
Poblenou,2019-04-27 07,38
Poblenou,2019-04-27 08,52
Poblenou,2019-04-27 09,45
Poblenou,2019-04-27 10,35
Poblenou,2019-04-27 11,23
Poblenou,2019-04-27 12,22
Poblenou,2019-04-27 13,22
Poblenou,2019-04-27 14,21
Poblenou,2019-04-27 15,22
Poblenou,2019-04-27 16,18
Poblenou,2019-04-27 17,17
Poblenou,2019-04-27 18,19
Poblenou,2019-04-27 19,16
Poblenou,2019-04-27 20,20
Poblenou,2019-04-27 21,27
Poblenou,2019-04-27 22,25
Poblenou,2019-04-27 23,23
Poblenou,2019-04-27 24,19
Poblenou,2019-04-28 01,29
Poblenou,2019-04-28 02,29
Poblenou,2019-04-28 03,43
Poblenou,2019-04-28 04,67
Poblenou,2019-04-28 05,67
Poblenou,2019-04-28 06,64
Poblenou,2019-04-28 07,54
Poblenou,2019-04-28 08,NA
Poblenou,2019-04-28 09,NA
Poblenou,2019-04-28 10,NA
Poblenou,2019-04-28 11,NA
Poblenou,2019-04-28 12,NA
Poblenou,2019-04-28 13,NA
Poblenou,2019-04-28 14,NA
Poblenou,2019-04-28 15,NA
